videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
E3W_i6TgS_M,#shorts विष्णु जी की आरती/मात पिता तुम मेरे शरण गहु किसकी Anuradha Paudwal/#status#aarti#vishnu#god,UCsGv9L5_g9G2xmDAlH5hrtg,KRISHNA.bhakti_2611,2026-04-16 05:15:00 AM,61,22,2011,76,2,203000
jj7XfytYYuo,player team football #shorts,UCc91OHK1ZgHBoXaNtursBug,IQBAL RIDWANULLAH ,2026-04-16 05:14:35 AM,11,22,352,6,0,11100
M4we12Cg-Lk,🔥 Last Ball Mein Dhamaka! #shorts #cricket #video #2026,UCsJ3Y-PApI6ijTdtZ8VBm4Q,Powerplay highlight,2026-04-16 05:15:53 AM,27,17,680,8,0,28900
nDq19pH13ds,Dhoni vs Cummins ❌ War ✅ #shorts,UCfcQjZ9XFX0UOBdji2KweYg,AD Darken,2026-04-16 05:13:14 AM,43,24,476,69,2,261000
_ERYKbQRJCY,Hospital vazio… mas essa coisa apareceu na câmera #terror #mistério #shorts,UC9itHTwSeOUxx-MMwHpiauA,André Matias ,2026-04-16 05:12:28 AM,30,22,274,4,0,557
PjdtaZ6nVqA,Mụ phù thủy dụ dỗ học sinh tội nghiệp #shorts,UCcNFwUhZf9djHMwicaSr4mA,Mu TV,2026-04-16 05:11:02 AM,59,22,2389,197,1,47400
nPJqnaS_m_c,When The Vending Machine Doesn’t Drop Your Snack 🤣 #shorts #relatable,UC4yMQLB46N8D_0HsX374Nhw,depeet,2026-04-16 05:10:00 AM,32,23,15691,331,14,2230000
2BunBG_YxNM,hikmatli so'zlar islamic uz motivatsiya #obuna_bolishni_unutmang #shorts ❤️ ☝️,UC44--qQPzbjhX-GPNCkja_A,islamic uz,2026-04-16 05:10:00 AM,6,24,1719,3,0,75300
DhOL_bZVghM,Wolf Mindset: ये 3 नियम आपको खतरनाक बना देंगे! 🔥#shortsviral #shorts #psychology #motivation,UCwOhQeMuvWa6xMpMRnxj7lA,motivationalbysiddharth,2026-04-16 05:10:03 AM,54,27,182,14,0,417
3nOiFaICbUQ,Red Dead Redemption 1 tendrá versión física en PS5 #reels #shorts,UCeaiIbVkz4jLCckeQP3s1sQ,Cuevagamerchile,2026-04-16 05:05:55 AM,61,20,490,96,26,203000
j4oY5l2Kqpk,best #shortsfeed #football #cr7 #shorts,UCMbMUxKThDT-rd8-XU84Yog,Ramgrg_2001,2026-04-16 05:03:21 AM,48,22,446,11,0,22400
R_BcvoyXyIA,Terima kasih Ayah Sudah Belikan Aku Eskrim Mahal 🤩 #shorts #eskrim #icecream,UCmmPfXRHCkHWidxYL7HSHgQ,Altaf Isyam,2026-04-16 05:03:52 AM,25,10,2861,32,0,670000
TVwWmdA8aFo,O Show Começou De Um Jeito Inusitado😱😱 #shorts,UCio8BZ_9YYDfVfjXtnVut8g,Lorena Tauana Shorts,2026-04-16 05:00:13 AM,42,24,2887,133,0,1230000
fce_HrwaTtU,नई टेक्नोलॉजी पर आधारित आधुनिक रोटावेटर#viral #farming #trending #shorts #रोटावेटर #agri #trend,UC6u_MNE1uNSgq8H9qChHTEg,A2Z kisan Farming,2026-04-16 05:00:14 AM,15,28,534,0,0,15200
m73rnmYLtaM,Chal meri gaadi 😂 #tractor #truck #jcb #toys #viralvideo #shorts 😱,UCOcEHNwdYqJp1uU4-NE9H-g,AAYU TOYS ZONE ,2026-04-16 05:00:31 AM,6,24,1071,,0,12300
yml_yXJo_54,Hustle cartel battles fan in Waffle House #shorts,UC0qedOZaTmCrmD73CSNLTIg,Hustle Cartel Gaming,2026-04-16 05:00:08 AM,95,24,410,16,0,346000
6Hz4bz0KUcg,Ellos recibieron ESTO en lugar de comida… Mira dentro 😱 #shorts #ytshorts,UCgPSErb0HDhaTKtVnI_Bk4g,ANU 01,2026-04-16 05:00:03 AM,38,22,588,,1,3950000
2IArLCi4ZFE,#shorts,UCXUdmo0dB-lPvF7osACK41g,Shivcharan remix,2026-04-16 04:59:33 AM,52,10,384,34,0,11800
YiUhJ8fCneU,Daru do yaar mere ko #shorts #viral #shortsviral #ytshorts,UCQmoGtZhY5adbMRSzhhfZSw,Mrpreft,2026-04-16 05:00:22 AM,18,24,699,,0,397000
KpLcnK3s-cE,Pos isso que o CEO é tão PACIENTE #alanzoka #shorts,UCOVsTKTT3AOhtDN0XvOjo4A,Shorts from Brazuka,2026-04-16 05:00:07 AM,38,22,682,84,2,24700
nIa96n4jT4I,🎉🥰 Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts,UCk2W7-yV4HSPAfZgXqwbAbQ,Viren React2fun,2026-04-16 05:00:15 AM,59,22,310,,0,10800
Lg0uWCDJgvQ,Cracked a White Rock… Found GOLD Inside 😱 #shorts #satisfying #mystery,UCH71DqaM8hGEA5QBvCyynig,Dreadivo,2026-04-16 05:00:06 AM,38,24,347,6,0,8510
LAwVHzSfsmw,Bhagat ke vash me hai bhagwaan #shortsfeed #shorts #viral #viralshorts #laddugopal #nandgopal,UCB9LmZYzVahhgKgLZCN5ijQ,Har Kahani Kuch Kahti Hai,2026-04-16 05:00:07 AM,29,24,247,19,0,10200
