videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
ggXbONGqDPQ,easy garlic bread recipe😋❤️ #garlicbread #shorts,UCKVF0IrH1Ww8rntlQToTRiQ,Nilam lifestyle ,2026-04-18 04:15:06 PM,37,22,1179,,0,138
AzuHRl7IE2w,Rohit Sharma Ignore Mumbai Indians | #ipl2026 #mumbaiindians #rohitsharma #shortsviral #shorts,UC5rZrLBBgqf_JC8KIEUL4_w,RajanCriFun22,2026-04-18 04:12:00 PM,27,24,2328,12,0,171
67sy5CJxbCY,இறங்கி வந்த ஈரான்.. டிரம்ப் எடுத்த முடிவு #shorts,UCmyKnNRH0wH-r8I-ceP-dsg,PuthiyathalaimuraiTV,2026-04-18 04:12:03 PM,30,25,4932,58,1,15400000
1sKsWBiRhUQ,palak paneer ki sabji #shorts #shortsfeed #viral #NituRasoi12 #cooking,UCLED-Diy_lRBikU1tXOUbCQ,Nitu Rasoi,2026-04-18 04:10:20 PM,61,22,1631,6,0,28
8pDoxLooSfY,How dust appear in your closed room 😲 #shorts,UCvSpRcNh7rrDPX_woBZLoKg,Factomania Girl,2026-04-18 04:10:00 PM,33,24,402,,0,851000
jPPfByCcbho,🍎 Wait… There Was Something Inside the Apple! 🐛😳 #shorts #shortsfeed #ytshorts,UCOOhFqaXiX4OkWUiCYbK4ZA,Shivang's Cute Reactions,2026-04-18 04:11:03 PM,9,24,5852,45,0,240000
1YCfbGcBbX0,Yesh ko kaun le gaya 😱😭 #shorts #viralshorts ￼￼￼￼￼,UCW57d1KSpQRE4bU7OHNBFEQ,RGT Mohit,2026-04-18 04:07:27 PM,17,24,2408,34,0,199000
MiShHQGgKyA,amaira dusre ke khet m ghus gayi #funny #shorts #comedy,UCpnCwe761xqy8UjnLA0BTEg,sonali barui,2026-04-18 04:07:41 PM,24,22,392,6,0,69200
Ew_dABcj4hg,Don’t believe in anyone blindly🤡 #shorts #shortsfeed #reality #motivational,UC_L6QRhCIFhXGl7S51p0Vmg,Kaliyug Lessons,2026-04-18 04:06:24 PM,50,22,1772,,0,77800
IDrHNWdYCcY,Snow Dangers Explained 😱| #shorts,UCCbbF5RM_PMb0nq_nXP-wnQ,Vinod _World _A_to_Z,2026-04-18 04:06:13 PM,41,27,304,,0,27600
0sW6JEBYtsA,The Journey Of Baby Turtles 🐢 |#shorts #ytshorts,UCE275m4vLCyOVqgWa3AR_fA,JANU FACTS,2026-04-18 04:03:04 PM,36,27,2642,,0,1540
ceSKoZCULPs,पत्नी को दिखा रहा था विदेश असलियत कुछ और थी #shorts #shortsfeed,UC-FooJqtsFr2uS3x-YI9Jzw,Pixel perfect,2026-04-18 04:03:28 PM,47,24,512,1,0,1930
s131Z59G72Q,“Rajasthan ke til ke laddu itne special kyon hote hain?” #shorts,UCbmF8hLAGKFeqn8_nBrITTw,Rajasthan Reveals ,2026-04-18 04:04:39 PM,27,24,1191,,0,119
lTAbSbeXjPw,Ye shivling kaise jud gya bahut bara rahasay #shorts,UCTE4QJqp9nbeBbB8vhycbRA,All Hindu Gyan,2026-04-18 04:03:59 PM,35,27,1118,,1,467000
7a01jjHWam4,Aura Farming Moment Of Kong 🥶: #shorts,UCKKG3qUe3f8-9DH-QBePCzA,Mystical wind,2026-04-18 04:01:05 PM,58,1,1088,146,13,143000
rsuB9D9itc0,GENERATIONAL aura debt 💀 #ishowspeed #clips #viral #shorts,UCljeu_vP34peZ-mC-rD9_8Q,Ishowowndih,2026-04-18 04:01:40 PM,25,22,1237,17,0,2720
vu5m36A2jLc,#shorts,UCH0KYuDj-jOfx-j0b5Ub3jQ,Paint with guddu 🔱,2026-04-18 04:00:36 PM,21,26,1066,,0,535000
rfQDsKfLkJI,Pani puri family challenge #shorts,UC7Jidc0OvhzKe4o5FDdVFzQ,Gullu shorts ,2026-04-18 04:00:35 PM,45,22,1463,,0,23800
wcwQ-pMCXo4,अगर ये पक्षी लटका दिखे तो अनदेखा मत करना #shorts,UCZYejsoycmljHmZ1c7tgiaQ,Deep fact room,2026-04-18 04:01:19 PM,57,24,317,,0,17900
naJoz6bvdMU,नही मिलेगा इंसाफ | Kangana Ranaut on Woman Reservation Bill | #kanganaranaut #bollywood #shorts,UC0nGjgCuJ04ascPaKpB8j7Q,WE FILMI,2026-04-18 04:00:27 PM,39,24,2810,,2,1050000
XzdF0KA6o9M,बेटी को पढ़ाने के लिए पिता ने दी कठिन परीक्षा! #shorts,UC3_1caBNAIPtuDgJcvDElaA,Define Movies,2026-04-18 04:00:50 PM,60,27,2320,,0,931000
TYkQyGLzkR0,Xe này sinh viên chạy có ok không? #xemaysinhvien #wavealpha #shorts,UC7wv7KQ5QW3F0Zc_SBlhIUA,Minh Long Moto,2026-04-18 04:00:27 PM,44,2,412,2,0,117000
rCXw3XE09bU,Big size magic balls aur jagiya🔮🔥| Indian family😂|| #shorts #youtubeshorts #trending #ytshorts,UCU2N6DNtn7l1WxkF8URKDig,Mohit Kohli XYZ,2026-04-18 04:00:35 PM,34,24,625,,1,308000
Ln8gGxPXGWI,Loyal boy ❤️ #kdrama #lovestory #loyalboy #shorts,UC-vDJsIHbeepN5LV6t3Uj1Q,Sad Romance,2026-04-18 04:00:39 PM,29,24,1052,20,0,128000
PfjLcsCeD2Q,SPIDER-MAN_MILES AND VENOM SAVEING SHE HULK #shorts,UCAxtlimtM6EdTFxk5yfdCvA,Pro Bunny,2026-04-18 04:00:24 PM,26,20,11424,,0,206000
ChP0QbHd7_s,#candy #chocolate #challenge #lunchbox #shorts #shortvideo #trending #viralvideo #explore #ytshorts,UC-H5PxrszV18xVsLJOY61EA,sidra_chocolate_boxx,2026-04-18 04:00:07 PM,19,22,1469,3,0,479000
4fsbqpjN_3I,Rudra mansi ki muli le gaya 🤣 #shorts,UCHmku1jZwPGl4xWLlKVMWBQ,vamikaVines,2026-04-18 04:00:00 PM,15,22,3103,21,0,36800
BHm65chNfwI,Dum Dum Dum Damru Baje 🛕🚩 #shorts #comedy #trending #viral #shortvideo,UC4Imd3MxrDK3uqd5JQGqERA,Cute Pulkit,2026-04-18 04:00:06 PM,7,23,3028,17,0,306000
4DSI03rvkVg,BIGGEST TV for IPL ! #shorts,UCdoDYkupTElV62K7ttA_E4w,TechBar,2026-04-18 03:59:13 PM,68,28,4105,442,19,5710000
BNTIrUtjfjM,#shorts - Out Standing Dance Performance By Disha #HyperAadi #Dhee #Danceshow,UCoY_p16GEbOQPgES1-wXpYg,ETV Dhee,2026-04-18 04:00:10 PM,49,24,11844,124,1,12900000
jLunedH6WaM,Left The Boyfriend #shorts,UCt4Fp9453eKa-cD4xjA8O8A,MrGovind Facts ,2026-04-18 03:59:51 PM,18,22,2226,,0,145000
jdSnhSlJBhA,மருந்துப்பொருள் ஏற்றுமதி பெரும் சரிவு #shorts,UCmyKnNRH0wH-r8I-ceP-dsg,PuthiyathalaimuraiTV,2026-04-18 04:00:05 PM,26,25,4592,44,0,15400000
N76c8abwGpY,Why is The Hen no Longer Laying Golden Eggs? #shorts #shortvideo #Rumi #kpop #WitchHunterGroup,UCRlqqLQWBzRmNkz0_TshlyA,KIOO FACTS,2026-04-18 04:00:13 PM,27,22,599,,0,39600
9Bh5MuRRzik,"That one ""Leader"" Friend 💀😭 #shorts #roblox #robloxrants #relatable",UCSIOsxuz4XK0wAj3VPIIhPw,RantDose,2026-04-18 04:00:11 PM,47,20,354,5,1,849
