videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
LWGu-u2dSo8,#ManageStress,UCsth4MxUVmbvToykhPWuuTA,META LORD,2026-04-12 11:55:39 AM,59,24,1137,,0,901000
ODgr0avDOx4,Random teammates were shocked after watching this 😲 #bgmi #pubgmobile #shortsviral #short,UCeOaVTUocnKKGqh_cNXmJrA,Deppz Gaming,2026-04-12 11:49:26 AM,55,20,245,,0,124
IIZFG1ttqk4,sultan Abdul Hamid 👑🦁//💣🇹🇷 4kvideo #shorts #ytshorts,UCT-GAxBGnqvEv1ENvGJIFpw,Hafiz Anisur,2026-04-12 11:29:29 AM,60,24,2298,199,2,6610
1qklxutVyhE,সব্বনাশ করছে। #short #trending,UCe6CQZVrdVSxeaQAzrl_FkQ,Daily Dose BD,2026-04-12 11:30:00 AM,48,24,2123,15,0,4620
lyC2SC6SAE8,मेरा होपनर🤺🤼#movie #short #shortsfeed #shortsvideo,UCs-eK8G2X_nkKEftUcaWQXQ,L N,2026-04-12 12:03:49 PM,61,22,144,2,0,232
pjhUOJ8ZmHY,"￼ no, no, no yes 👍 😘 #short ￼",UCHQKOUIQLAT9-aCMND2BZeA,Surjeet Swag,2026-04-12 11:30:06 AM,10,22,20565,131,0,11200000
zk7pZ0bSPjM,Student Attitude in Class 😎🔥 #teratrigun #shorts #ytshorts #foryou #attitude #students,UCkWfDnl8lGE6zGbVh9Z7jzg,Kirisn Z2,2026-04-12 12:01:00 PM,41,24,1596,,0,39700
RQo2kmLYdHg,Umesh Yadav's key advice to LSG & Rishabh Pant for #LSGvGT | #TATAIPL,UCmqfX0S3x0I3uwLkPdpX03w,Star Sports,2026-04-12 11:36:55 AM,35,17,2498,97,3,9760000
Z6qF_RwQoYQ,Bamboo strips pigeon sculpture 🙂 #shorts #viralshorts #trending,UCQ7vcx74jqk6z7h8ZP9fPMg,Devgurucraft ,2026-04-12 11:41:32 AM,31,27,653,15,0,917
kb3ePeDerLc,ભાઈની બેની લાડકીને ભઈલો જુલવે ડાળખી |જોરદાર જુગલબંધી #vanitapatel #shortvideo #gujaratisinger #short,UCPb8Kk4aSdyc69PZPDYAikA,Manushi Jadav,2026-04-12 11:30:37 AM,26,22,684,11,0,5860
ipc6t3TgZBE,how to bring your mom back to life 🌹😍 #shorts #peter #horidhenry,UCv1nGAjxTQWzKxNHWE9IS6A,Koyel Khamaru,2026-04-12 11:33:47 AM,48,22,671,9,1,856000
Z5IyxT3ZPU8,Shadi ki Charki khali kar di 😱🪁#kite #kiteflying #patang #patangbazi,UCQ7UB7F8l9vMuS1HNjBWdgg,Vaibhav Saini Vlogs,2026-04-12 12:00:30 PM,26,22,4249,79,0,4580000
pYJtDCOOj9k,इंस्टेंट दही प्याज मसाला डोसा। Instant dahi pyaj masala dosa #short #shorts #viral #new video,UCcSj4b5iClG-HIN0q2lj6Vg,★ Sangita Ray Kitchen★,2026-04-12 12:05:59 PM,19,26,1657,5,1,1670
S8rmf2ck0Gw,Chala Chala dhani Aarti utare 🙏🚩 #viral video #trending video  #short video,UCiVncAoZtJtjMUt_fMf6R7Q,Pushpa official bhakti shot ,2026-04-12 12:00:13 PM,25,22,470,5,0,3660
TU1C5HecxM4,মটকি কমলার জুস 🥤 বানালো 🫢🫣#funny #shorts #viralvideo #trendingshorts #iamalip,UCEzSJObkOqq3zjtIwD56MjQ,I AM ALIP,2026-04-12 11:51:31 AM,18,24,3609,17,0,17600
