videoId,title,timestamp,viewCount,likeCount,commentCount,subscriberCount
_1WtKPpQ8Ow,Sanju a humble man💛#cricket #sanjusamson #csk #ipl2026 #cricketlovers,2026-04-13 08:29:30 PM,102800,10111,96,171000
9lriTE9Yo_Q,Leg spin bowling action in correct form 💀✅.........#cricket #short,2026-04-13 08:29:30 PM,1910,,2,43
fHVlzV96t_U,#yt #milkchocolate #darkchocolate #sweetcravings #foodtrend #viralfood #short #viralshorts #ytshorts,2026-04-13 08:29:30 PM,12847,89,0,265
leHc-O3U18c,"Qatar, Saudiக்கு ‘Nuclear’ ஆபத்து - Bushehr Plant அருகே விழுந்த US Missiles; Iranஇல் நடந்த Attack",2026-04-13 08:29:30 PM,6534,91,0,4850000
Mi6FsR-44Kk,'बेहतर होगा ईरान...' बातचीत से पहले Trump की धमकी | Iran US Ceasefire | US Iran War #shorts #viral,2026-04-13 08:29:30 PM,58541,431,8,25100000
pNPAcLe42hU,சாலையின் குறுக்கே தெருநாய் வந்ததால் விபத்து - இளைஞர் பலி...,2026-04-13 08:29:30 PM,14201,86,9,12600000
wesP-Z8kZhM,curiosidades do youtube rs #6,2026-04-13 08:29:30 PM,11891,72,1,8220
i6Gsxm3wjlw,Barro comestible?! 😯 #viral #food #shorts,2026-04-13 08:29:30 PM,356697,16358,307,1260000
BNpU40NEfWs,Kaam karane ke liye bolti hogi 😂,2026-04-13 08:29:30 PM,24692,726,11,96600
dVQy9BPIf-o,#song ए जान शादी कर बोगे कम एज में 😋 #short video 💯👍📷,2026-04-13 08:29:30 PM,688,10,1,2760
mkt5qXA79nQ,Fake Horse In War 🤯!#ayushquest #shorts,2026-04-13 08:29:30 PM,3647,45,1,236000
BYJDns94McU,Salah sasaran #shorts #viral #comedy,2026-04-13 08:29:30 PM,191358,1428,12,5500000
0shYgGgd_h4,Trump Considers Removing Some US Troops From Europe Amid NATO Strains,2026-04-13 08:29:30 PM,54986,5162,36,344000
erQOFiQUxnY,"Introducing the ""VitalWear SmartBand,"" a next-generation wearable gadget",2026-04-13 08:29:30 PM,511577,,19,218000
tofoGU1LGmk,Premium Quality 🔥 Cotton Outfits ✨ #shorts #short #shortvideo #youtubeshorts #shortsfeed #trending,2026-04-13 08:29:30 PM,2307,33,8,12200
IckRKDC86Og,hasna to padega 😂😁 #funart #lolart #sketchcomedy,2026-04-13 08:29:30 PM,33369,675,5,19900
caJ2NjCa-a0,Roman Reigns attitude status ☠️🤯😡 #short #wwe #romanreings,2026-04-13 08:29:30 PM,29168,550,0,2410
qASjceGTFk8,तनवी के पापा आला काम bi आज to main हे करना पड़ा #dailyminivlog #ytshorts #minivlog #youtubeshorts,2026-04-13 08:29:30 PM,232005,,19,18200
kcsqVmfBz3o,kha ja rahe ho chhat par #short video 😱🥰🤩🤩😇😮‍💨🙄😁😅😝🍭😚😄😄😅,2026-04-13 08:29:30 PM,20073,88,0,79200
BJX8MsP_6eA,Naya Naya Driver H Haranave Dhai Dhai Dabata 🫣 Samar Singh #short #video #bhojpuri #song #viralshort,2026-04-13 08:29:30 PM,741,20,0,157
GRPjga0iQmQ,उल्टी आंख वाला #shortvideo #shorts #short #viral #video #facts #cattyrobo #funny #youtube,2026-04-13 08:29:30 PM,28122,149,0,104000
eTWySKZ3xn8,Jay shree shayam khatu dham #viral #short #video #youtubeshorts#trendingvideo #shyam#khatuwalashyam,2026-04-13 08:29:30 PM,3086,586,60,20900
3tLRB6MjP-U,#reelschallenge,2026-04-13 08:29:30 PM,87016,,1,978000
9W79dx9fX-g,iPhone unlocked 😱🤯 #magic #shorts #short #youtubeshorts,2026-04-13 08:29:30 PM,1378,17,0,720
tf2SbG8NrvA,Multi Colour Unique Design Cake Decorating #trending #shortsfeed #viral #shortsfeed #shorts #short,2026-04-13 08:29:30 PM,33874,190,0,32300
OiFQpmyFEHo,Why Are These People Getting Stung By Bees? #shorts,2026-04-13 08:29:30 PM,1141938,,3,303000
o3TGaTM0Wsk,Islah Bahrawi Saiful Mujani Dilaporkan Ke Polisi Oleh Relawan Prabowo Gibran,2026-04-13 08:29:30 PM,10106,121,105,125000
HUKXZr_IbUs,pokhalo (water soaked rice )with red tomato #youtubeshorts #shorts #villagefood#eat#guddi,2026-04-13 08:29:30 PM,41025,910,5,4190
3BxsEpHKjak,चलो  हिमाचल  द्वारे  मां गौरा  को ब्याहने #शिव भजन #short #viralvideo #ytviralvideo #ytshorts,2026-04-13 08:29:30 PM,1437,47,4,4130
bkrRoGJ78JQ,రూ 1.5 కోట్ల లాటరీ గెలిచిన 65 ఏళ్ల వృద్ధుడు #Shorts,2026-04-13 08:29:30 PM,27099,501,18,2080000
68JhcyVin5g,Blessings,2026-04-13 08:29:30 PM,88578,5559,105,373000
8OjIwxgCONs,बाप रे ये कौनसा नोडल्स है 😱😮 #shorts #youtubeshorts #cat #cute #FunnyCats #catcartoon #frying,2026-04-13 08:29:30 PM,1036141,,1,509000
e-nG4mrCCfA,mama to harami nikla #comedy #viral #view #short,2026-04-13 08:29:30 PM,6664,36,0,21900
NqyCT3_Q4eg,IMPOSSIBLE 🍷🗿 #freefire,2026-04-13 08:29:30 PM,10378,,1,61600
96pqdVRZfTc,"[HEADLINE NEWS, 10/04]  Utusan Pribadi Sekjen PBB Tinjau Kampus di Iran",2026-04-13 08:29:30 PM,18857,141,50,11100000
LTvuDfVuBLU,¿MÁS XENEIZE QUE LLAMARSE MARTÍN RIQUELME? | #Shorts,2026-04-13 08:29:30 PM,21200,434,15,8740000
Ic3F6PXyfLA,நீ புரண்டு புரண்டு விளையாடும் நாகப்பாம்பு..🙏#shorrtsviral #amman #short  #shortvideo #RRBROTHERS,2026-04-13 08:29:30 PM,8137,84,2,32400
KLBqlCcfG8o,Bangladesh Police Academy Sardah #shorts #short #viral #bangladesh #police #trending #academy#travel,2026-04-13 08:29:30 PM,1590,9,0,81
7g51QxwV-qU,삼전닉스 내년 영업이익 1000조 전망…'성과급 10억 시대' 현실 되나｜지금 이 뉴스,2026-04-13 08:29:30 PM,58391,314,457,4830000
jHd6bomD1RA,south guys slang🔥🔥🔥,2026-04-13 08:29:30 PM,25104,586,3,6620
LdpG7q1Zqjk,इस समय नमक खरीद कर देखो - जीवन में होगा लाभ ही लाभ | #salt #lifechanging #success #shorts #viral,2026-04-13 08:29:30 PM,24954,953,33,2340000
_ZkNaUgW0Us,Scooty Rain Hack You Won’t Believe! 🌧️ / #shorts #viral #video,2026-04-13 08:29:30 PM,16961,,1,2440000
QoaxxDOBtgA,"""이란서 구조된 전투기 장교""…미국 정치권도 속인 사진의 진실은?｜지금 이 쇼츠",2026-04-13 08:29:30 PM,49406,373,123,4830000
GQTyrFnurr4,"Husband arrested after woman fell overboard, went missing in Bahamas, police say",2026-04-13 08:29:30 PM,119633,357,234,756000
