videoId,title,channelId,channelTitle,publishedAt,duration_sec,viewCount,likeCount,commentCount,subscriberCount
o3rwJ-NTMnc,नदी की किनारे में कुछ मिला 🤣 #shorts #short #viralshorts,UCTg9uLFCH-ZhjaIKa_82ibw,MH ranjit 1991,10-04-2026 09:25,47,314,9,0,10100
IxWA_lAz0L4,#amarnathsdk #shortvideo #shorts   #bhojpuri #bhojpurisong  #song,UCUC3msj0l8zoM6uCib4u6iA,shivkumar_priya_short,10-04-2026 09:04,23,2730,68,0,87100
Ra_X5gOjUNg,🤪 funny 11 balloon 🎈 crushing RC car & slow motion #short #shorts #rccar #balloon #crushing,UCi3unoX4N_r5hm0rjzOvOzg,liza channel11,10-04-2026 09:15,18,2209,10,0,253
3SaNhc2VtU4,トランプ大統領「イランの通航料認めず」　モジタバ師は海峡の支配権強化を示唆,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ ダイジェスト,10-04-2026 09:06,68,745,17,3,2590000
VUMVGQGzT9o,இந்த கார் சர்வீஸ் பண்ணனும் 😂#shortvideo #short #shorts,UCGy2H7-bnz8wIhIgmIXOryg,STR Glitz,10-04-2026 09:03,58,6578,236,6,538000
MTvP3QFZiAM,Amazing 🤩 Maya Fish #Short  #fishingMaya,UC18jbhyOk0nqq2kZKDZuWKA,sb new channel vlog ,10-04-2026 08:52,18,580,3,0,782
QRQ-7NLB8RM,बदनाम करने पर लगे हैं सब,UCqHDA1g_u7IsLQdOGC8j1rA,Janki Nishad,10-04-2026 09:04,17,3324,440,4,100000
GSRJg7HDB8E,हरिद्वार 10 अप्रैल के ताजा दर्शन #haridwar #ganga #shortsfeed #short #youtubeshorts #ytshorts,UCKmw7xoCMnLLTLkc-x53pdg,sanghit vlog,10-04-2026 09:03,65,252,,0,358
0CcMhfW9Zwk,#clay #art viral #short #video,UCfoIFf5J3aexCorjfkDy9Ng,Sandeep up 44,10-04-2026 09:14,25,312,3,0,2280
x1_jNwJTULo,Sahi jawaab batao 🤨😯 #dublagem #short,UC1JSw27gZN0A_TN-owRr07A,sallu.official,10-04-2026 09:00,11,243,,4,26700
9kUrrDHBCZU,Latest mandala design ♥️🌿#mehndi #art #henna #art #viral #short,UChdsUWbmzChrQ-M9qMZ0hpQ,Artful_henna_strokes,10-04-2026 09:08,23,240,2,0,1240
_oB1Dr9-CtM,Dushi breathing fire 🔥😮‍💨,UCEzB47eM-HZu04f4mB2nycg,Delhi Capitals,10-04-2026 09:04,39,3940,209,7,1870000
8pksFUP6YXU,Đề xuất toàn quốc chỉ bán xăng E10 từ ngày 30/4/2026,UC9CbjDlw_c1KGH7t6XHyJ_Q,Báo Xây dựng,10-04-2026 08:55,53,1261,6,1,359000
DlTvB1nKZyg,Ustedes que más le ponen a la sopa 🪵🥘🏡,UC-uiKT_hwED43FzQhnWegbQ,Tía conchita,10-04-2026 09:12,70,765,44,1,306000
Y0-C1I4CEo4,savidhan meri jan #new #dance #video #trending #song #viral #short #reels #video,UC94NteDWjFu6SiYLw5wG6tQ,sachin_dancer_1k,10-04-2026 08:52,15,368,27,0,375
gsJzPkhigIo,ഞാൻ ബിഗ്ഗ്‌ബോസ്സിനോടാ വഴക്കിട്ടത് #biggboss #sarika #interview #shaithyabiggboss #reality #troll,UCtTkj8Ny_IlqQm0i_TCZgLA,The Reality By Sarika ,10-04-2026 09:13,44,811,12,1,11300
NjuF6YYXSqM,unique multi colour full cake design amezing #shortsfeed #youtube #trending #ytshorts #short #feed,UCplpjbKviRiPDS1XURafv7Q,sk cool cake ,10-04-2026 08:39,18,3311,18,0,17800
Sa4oe3S3m4E,मालिक हो तुम सेवक हूं मैं #trending #short #viral #song,UC8lTgOckNCeW66AgdHBLmUw,Radhey bhakti blog,10-04-2026 09:04,17,374,19,1,13000
MjFmuwuvAYs,#olympia #gymboy #motivation #bodybuilding #bodybuilder #edit #youtube #short #workout #gf #fitnish,UCJhOncemQ--CV9WMZzHig6w,Harsh Patel Patel,10-04-2026 09:22,36,202,12,0,298
jLpMcDGahqI,Wow Cake Ram Bhakt Kahani JaiBajrangwali Jai Shree Ram HarHarMahadev A #short #funny #bind k tech,UCrFSI1j2iW1_8LoMMABEkQQ,BJ VFX PAWAN,10-04-2026 09:30,9,18,2,0,567000
E1OOVOGTPZ0,new funny 🤣🤣 video #funny #comedy #short #video #youtubeshorts,UCJYUbC1WqDHk3RBc8KyuvNQ,PK.ZOOTV.M,10-04-2026 08:45,19,794,4,0,1590
QAW6UaFiW84,"wait for end, 😙 #virel #short #youtubeshorts  #ipl #cricket",UCvDOl2c61oywFfX7gotrb5g,Cricket Fever,10-04-2026 09:09,14,617,12,0,82
VpU_kbX8luM,aaj khushi ki birthday celebrate ki  🎉|#shortvideo #shorts #short,UCNnmPvoGrnoMf3Y0sscp-dQ,Krishna family vlog,10-04-2026 08:39,71,2088,227,12,21200
pxoJ67i7ccU,#short #viralvideo #funny // #csk // comedy video,UCpBlOZPMMGM8vzlXM3W6BTA,Comedy video 1818,10-04-2026 08:57,48,109,1,0,182
8WIMAT3DTIs,Rohit's Timing 😍 #R45,UC9NTvIwWeUpRdCqQyoaDlCQ,R45,10-04-2026 09:24,32,1261,,0,656
QOC3NdQ7ex0,Stronger every set”💪#biceps #motivation #fitneess #viralvideo #gym #shorts #short #video,UCw7fPC1EA2lzBhA33hBGE3Q,Reshmi_Fitness 51,10-04-2026 08:55,28,652,28,0,3580
hFzPha3MGxo,公園の「トイレのレバー」窃盗相次ぐ→追う捜査員の目の前で犯行…男（49）を現行犯逮捕　埼玉・草加市の公園で「フラッシュバルブ」4個盗んだか｜TBS NEWS DIG,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,10-04-2026 08:52,71,1139,19,39,3230000
7NzWeODXU84,What Animal is Your Twin Filter ! #trollface #tutorial #short,UCTJmE7l7S8XERZvpo9S379w,ZabaniEdits,10-04-2026 09:21,25,219,,0,114
wqDytm4OA2o,#funny #birds #gaming #short,UCb_Td33XGiDtrQ8XC4p2QeQ,Krishna gaming 99 ,10-04-2026 08:50,46,533,,0,523
