videoId,title,channelId,channelTitle,publishedAt,duration_sec,viewCount,likeCount,commentCount,subscriberCount
J-NasTKfh-c,#auracat,UC3jX2VwFmC0IFAgC5J4EViA,TBZ Gaming ,2026-04-10 09:38:55 PM,46,22069,2408,55,158000
6kXT2idugRk,US and Iran set for indirect talks in Islamabad amid heavy security,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2026-04-10 09:57:33 PM,120,2960,99,18,17900000
PUwbPpzy0fU,#viral video #short video #animals #bandar gurdel chalate hue #chil ko market murgi ka jan bchaya,UC2yHSWYBXauDqueOlRWOWHg,Cartoon87YADAV,2026-04-10 09:56:14 PM,40,426,6,0,164
tbDXpv_u_Tk,Hoje é 1° visita técnica no local onde será meu casamento 🥹💍 #casamento #viral #vlog,UCAeie0vPJ4WBFkG4dfl8aVQ,Stores de famosos ,2026-04-10 09:31:13 PM,24,4327,469,7,739000
VL603__EWmI,#armanmalik #kritikamalik #payalmalik #malikvlogs #shorts #malikkids #short video #shortsfeed #viral,UCmb5KL3t13-xRizgY7Bnq1A,Malik shorts clips ,2026-04-10 09:58:55 PM,39,8859,280,0,577000
lm5nLJg68GM,12 बजे मुर्गा बना रही हैं #short #minivlogs #pramodvlogs11 #vlogs,UC1Dht186Qo4tHJ4SNdyKifw,Pramod Vlogs 11,2026-04-10 09:30:28 PM,24,519,,0,20200
zn9iJ5_kcNg,जीविका दीदी सावधान रहिए !! #Jivika #trend #trend #savdhan #viralshorts #mahilagroup  #shortsfeed,UCnYozc_KKlKdwb9BEm5dsEg,Ddc News Fast ,2026-04-10 09:39:12 PM,63,1910,54,0,73000
ekthUMmTVro,New Santali Dabung Dance 2026 #santali_fansan #santali_viral #youtubeshorts #short #trending,UClcT8b820X9ClxwJRPqfUzg,Sumanta Mandi,2026-04-10 10:03:23 PM,15,574,7,0,205000
AjFk1cY265I,Digital Circus Ep 9 Finale [TRAILER],UCn_FAXem2-e3HQvmK-mOH4g,GLITCH,2026-04-10 09:59:45 PM,70,793293,203009,26039,19800000
jGvzBf6oO30,#armanmalik #kritikamalik #payalmalik #malikvlogs #shorts #malikkids #short video #shortsfeed #viral,UCmb5KL3t13-xRizgY7Bnq1A,Malik shorts clips ,2026-04-10 09:29:07 PM,41,19559,510,3,577000
