videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
ajBDqz4ikXY,“You deserve this so much” - Inside Van Aert’s Roubaix win 😍 #shorts #cycling,UCcbBlBEtCZ2lX7bodgi02Xg,Velon,2026-04-13 02:52:13 AM,111,17,5760,273,3,225000
CYeUHvZhuyE,World’s Strongest Eraser VS 5 Levels… (#shorts),UCX3irZyWOVkdi7d7uqp38kg,NashVibes Art,2026-04-13 02:56:59 AM,35,24,21891,1382,40,5920000
BPoQh9GgYpU,"Smart Appliances🥰New Gadgets, Gadgets Versatile, Tools Items *#shorts #trending",UCKVOARIt_Xqr-tbNHxwQVUA,HOW LEGEND ,2026-04-13 02:45:55 AM,44,20,3454,180,2,493000
feuRae1S1l8,ALOY BRAVY BIKIN REZA ARAP PANIK SAMA JOKES BAHAYA YA #shortvideo #shorts #marapthon,UClRTaHttwX2j8eLYgn1rrBQ,tepelepsiClip,2026-04-13 02:32:38 AM,61,24,5749,86,0,2370
PwGOOC9XGrc,Anjo demitido 😱 #viralvideo #india #memes #humor #short,UCeDhCsd6ajvd3qCYaYE33-Q,Oduvida,2026-04-13 03:01:12 AM,14,22,2608,36,0,193000
hjhrNn4FFWs,Eşref Rüya | İhtiyarın kızı Nisan mı? #short #eşrefrüya #eşreftek #kadirbaba #kanald #komedi #edit,UCwsvYLAV5X_Uj_tVhw06-1A,quixef,2026-04-13 02:41:49 AM,42,1,742,12,0,1790
xIaw_uHr9js,DREAM FUNK vs MONTAGEM MIAU FUNK #shorts #dream #funk,UChvMCuo2HHlcsH2qkK0YwiA,Legendary Editor Gold,2026-04-13 02:31:01 AM,41,20,915,37,0,2850000
1Bsr6TXYW7k,Now he knows how his own toxin feels like 💀. #shorts,UC7aOpbANdOryqjOnUy-IPag,NIAIRA-GONE,2026-04-13 02:53:23 AM,60,22,420,27,1,25200
5WZAAvaCPBc,La verità prima di tutto. #short,UCSa3huBPcVCgwO7oyVUfyZg,S.SALVATORE1985,2026-04-13 03:03:56 AM,54,1,2897,51,1,71100
GtWmOSe6xAs,TINY IPHONE 🤏📱😱 #shorts #youtubeshorts #cricket #unboxing #ball #iphone,UC6r64_n-d9bv3n4k1swpRuw,WESZIN FF YTT 2.0,2026-04-13 03:12:43 AM,12,22,433,1,0,129000
pdyFslbnED8,Don't Miss These Astronomical Events Of April #shorts,UCX8v4cCDokZK8-cr-07nwlA,Astro Boom,2026-04-13 03:00:11 AM,32,27,329,5,0,4710
V5x2JYlI9qM,JACKIE CHAN vs RON SMOORENBURG whose legs are stronger #shorts ##viralvideo,UCmaWreJt-K0pXeWe51zNXNA,Detik Makna,2026-04-13 02:30:00 AM,54,22,522,11,0,73800
3LmXrojrgTo,En büyük zenginlik sizce nedir?#shorts #short,UC8jk4ZQ3doTBxeFl_dGjkgQ,İbrahim ÖZARSLAN,2026-04-13 02:36:28 AM,58,27,699,32,6,968
mw1HxMz6iEU,Viktor Orbán loses Hungary election as opposition supporters react to win,UCshwRhftzkiov5wKR7M_LsQ,The Independent,2026-04-13 02:40:00 AM,74,25,3886,238,272,1240000
mtddXVt2bpI,Pt.10 VERDADES QUÉ NADIE DICE #standupcomedy #shorts #shortvideo #short #viralreels #viral #video,UCdmQofKfFabOqwWJ2liyFmw,Rogelio Ramos,2026-04-13 03:15:00 AM,59,23,339,8,0,378000
3aws_JAhgSM,This Is Not Her Dog Anymore... #usa #shorts,UC5y3mJLNo_G98DPS90emNsA,GruShorts,2026-04-13 02:30:00 AM,23,22,923,,1,4030
8AyGxS8TpL4,Su sirvienta fue la única que no lo traicionó #short #shorts,UCw_E9Y2DvwSYwjuH8k3EQAg,Acciones Reflexivas,2026-04-13 03:01:36 AM,20,24,466,5,0,36100
1XbVKE7VPJE,Vamos Pal Sur #motivacionbigsmall #motivar #shorts #short #nariño,UCgznbPuW1xmquaip7G1Sdaw,Big Small,2026-04-13 03:13:59 AM,17,22,192,33,2,11600
VkGlRTEGXdE,Trump announces Strait of Hormuz blockade,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,2026-04-13 03:01:52 AM,59,25,3012,47,9,2180000
HVdgljFXJAg,"'3살 아들 학대' 20대 친부 구속‥""도주 우려"" (2026.04.13/뉴스투데이/MBC)",UCF4Wxdo3inmxP-Y59wXDsFw,MBCNEWS,2026-04-13 03:00:12 AM,119,25,353,20,7,6150000
9Gnogv4Lrx4,Abre a boca #shorts,UCfVVvs5zoGJXdHdnQDLlsvQ,Família Ana Estela Moschioni ,2026-04-13 03:15:29 AM,11,23,446,2,0,1170000
05NzLqV34JI,Sha Sha Shakira 😍 Live Concert Blast | Unstoppable Dance Moves #viral #shorts #trending,UCNGdNf6NvBjdcF9Mm8otMWQ,NRI Worldwide,2026-04-13 02:49:45 AM,9,10,3343,105,1,81500
Gmtp-sOXJWA,Vai superar a GLOCK? Revint chegou #shorts,UCmvhlpPYY8qIyzNkS8fC0EQ,Samuel Cout,2026-04-13 02:30:29 AM,55,24,4045,780,26,1980000
TXSCGLf3FaY,Tried Food from beside Kumari Aunty Shop | Food Reality Check #shorts #foodie #minivlog,UCpJiIlNoRFw1yeK0zwskY-w,Mkthebrand,2026-04-13 03:00:05 AM,55,22,387,18,0,15600
rUUERLFutqM,Khelata dekhun 😲😱#shorts #short #shortvideo #unique07 #trending #highlights #games #gaming #reels,UCip1BhSlVIezhk3RIL0junw,UNIQUE 07,2026-04-13 02:49:46 AM,16,20,605,0,0,19100
hXJKqQjWJoo,Cuando mi ex y yo no nos superamos 🤭🥵??,UC1h9JhJ0we28rqfygV2nYLw,Sammy el heladero,2026-04-13 03:01:14 AM,112,22,7847,198,9,390000
LtrJiFmKrUY,New Santali Dabung Dance 2026 #santali_fansan #santali_viral #youtubeshorts #short #tranding,UCARsC5oG2t5EBsqCXnq0ygQ,Murmu kura Dotcom,2026-04-13 02:47:42 AM,13,10,590,7,0,31500
yBAgw4zK7fM,Justin Bieber la Coachella 🔥 #justinbieber #coachella #shorts,UCGAmK9R42gmTPaFirUANuiA,Punct pe Muzica,2026-04-13 02:58:34 AM,70,24,788,9,0,14900
