videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
NTzfV8SoMkk,राघव चड्ढा जेल गया तो दिखा असलियत #shorts #shortsfeed #trendingshorts #raghavchadha #news #chadha,UCZ3WEN0G-TPMjSgN1HVXqJQ,Baat Bihar Golu 2M,2026-04-13 11:15:03 PM,74,25,491,17,0,2140
LvhnsgiaXNo,ह्या गोष्टी घरात कधीच ठेऊ नका #swamisamarth #viral #trending #shortvideo #short,UCCAOuR52_3PebUoiWvyUerA,Chitra godse,2026-04-13 11:05:25 PM,16,22,444,0,0,6260
dFjJTvdFIQ8,പത്ത് പൈസ ഇല്ലാതെ എന്തിനാ  #short #viral #mollywood,UCp9doAzt0pw9T5vxeD0uYog,ARZ ENTERTAINMENT,2026-04-13 11:07:18 PM,42,24,220,4,0,10600
mUuXnukFCvU,மணத்தக்காளி கீரை பொரியல் #shorts #food #cooking #recipe #yt,UCIf9746STvdZdbtGXtinTcA,Thangam Oorugai,2026-04-13 10:54:08 PM,88,22,3479,6,0,444
vO7xxJqzcD0,Not OUT #short #softball #shorts #shortvideo #menssoftball #shortsvideo #usasoftball #slowpitch,UCIbko4TBtB3VsgCXq4GXO9g,Lidakihka,2026-04-13 10:59:01 PM,29,17,856,4,0,9800
6Eorl9ABQoc,Lamine 😳 #shorts #fcbarcelona #ucl,UC14UlmYlSNiQCBe9Eookf_A,FC Barcelona,2026-04-13 10:48:24 PM,13,17,20249,2319,59,25600000
yBISjY95gU8,This Transformation of Prototype Is Insane 🔥🗿 #poppyplaytime #edit #prototype #shorts,UC3SXU6lmz7NaqBhMxRZiWLQ,SKELETON EDITZZ,2026-04-13 10:31:03 PM,16,24,4152,,4,108000
2RULtyHrfLw,"WATCH: Suspect steals $6k, designer items from home #shorts #us #news #foxnews #theft",UCXIJgqnII2ZOINSWNOGFThA,Fox News,2026-04-13 10:30:06 PM,38,25,16659,218,65,15200000
jjkR2NM3v5c,What a debut for Praful Hinge #short #cricket #ipl2026 #srhvsrr,UC2qWiwshYL3PZIsqTA0lEQg,Aa Cric ,2026-04-13 11:16:00 PM,8,17,3971,124,5,224000
Wrozq1pI79E,Iblis Dan Manusia!? #beranda #fyp #shortfeed #shortsfeed #islamicvideo #short #feed #islam #allah,UCZMKbpphbvuXlkYRK42lnlg,AdiAbrari Family,2026-04-13 10:30:39 PM,70,22,343,6,0,1240
9CZ3925OpX8,Allah ke zikr se milta hai 🤲 #shorts #shortsfeed #allah #quran,UCzJfd8IeLoopUN--bUUpToA,DeenScope Media,2026-04-13 11:15:00 PM,52,27,600,18,0,742
OpBZs6c6muk,"steak luck,#roblox #stealabrainrot #steak  #shorts",UCzFEZeU-0RrTemMOJ1m-Clg,MSD,2026-04-13 10:47:34 PM,46,22,528,7,0,356
vkgpi7VkZyM,Kanchi cotton saree ₹880✅ #short #shortfeed #sarees,UCMCGHQ8Jly6M9mgzBEFV6wQ,MAHALAKSHMI TEXTILES,2026-04-13 10:51:28 PM,21,26,971,,0,72500
RyxEpSlfqIw,Iran ने India का शुक्रिया अदा किया #iran #india #shorts #short,UCOpGEeA3T_3M0e5Io7PG7Tg,Fa Hindustan,2026-04-13 10:58:55 PM,31,25,479,16,0,35800
BRlEM454TeM,chale jao nahi to mai #shorts #bollywood #love #amisha_patel #aftab#,UCJRDpzU6mpc3H_hGZwfVHrw,Sunil Kumar cntu,2026-04-13 10:55:31 PM,60,19,491,13,0,1770
PtkCY1SIIBs,Gt650 শেষ Plastic Lover দের জন্য সুখবর🫡 #shorts #draggersubho #gt650,UCVhqw2upaK04DGTzCQxj-Kw,Dragger Subho Shorts,2026-04-13 10:45:02 PM,26,22,1418,47,2,28600
